ID,SPECIES,MPCR,MPCRGroup,CARBA5,CARBA5Group,mCIMeCIM,CPO,Name,FirstAll_mCIM,Conventional_mCIM,FirstAll_mCIM_All,FirstAll_MPCR,Conventional_MPCR
33154,KP,OXA,KPC/OXA,Negative,Negative,mCIM(-)/eCIM(-),Negative,Klebsiella pneumoniae,(-),(-),(-),OXA,Negative
33157,KP,OXA,KPC/OXA,OXA,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Klebsiella pneumoniae,(+),(+),(+),OXA,OXA
33186,KP,OXA,KPC/OXA,OXA,KPC/OXA,mCIM(+)/eCIM(+),Class A or D,Klebsiella pneumoniae,(+),(+),(+),OXA,OXA
33192,KP,OXA+VIM,Others,OXA+NDM,Others,mCIM(+)/eCIM(+),Class A or D,Klebsiella pneumoniae,(+),(+),(+),OXA+VIM,VIM
33211,KP,OXA,KPC/OXA,OXA,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Klebsiella pneumoniae,(+),(+),(+),OXA,OXA
33218,KP,OXA,KPC/OXA,OXA,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Klebsiella pneumoniae,(+),(+),(+),OXA,OXA
33220,KP,OXA,KPC/OXA,OXA,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Klebsiella pneumoniae,(+),(+),(+),OXA,OXA
33223,KP,OXA,KPC/OXA,OXA,KPC/OXA,mCIM(+)/eCIM(+),Class A or D,Klebsiella pneumoniae,(+),(+),(+),OXA,OXA
33230,KP,OXA,KPC/OXA,Negative,Negative,mCIM(+)/eCIM(-),Class A or D,Klebsiella pneumoniae,(+),(+),(+),OXA,OXA
33235,KP,OXA,KPC/OXA,OXA,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Klebsiella pneumoniae,(+),(+),(+),OXA,OXA
33238,KP,OXA,KPC/OXA,OXA,KPC/OXA,mCIM(+)/eCIM(+),Class A or D,Klebsiella pneumoniae,(+),(+),(+),OXA,OXA
33240,KP,OXA,KPC/OXA,OXA,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Klebsiella pneumoniae,(+),(+),(+),OXA,OXA
33242,KP,OXA+IMP,Others,IMP,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class B,Klebsiella pneumoniae,(+),(+),(+),OXA+IMP,IMP
33244,KP,OXA,KPC/OXA,OXA,KPC/OXA,mCIM(+)/eCIM(+),Class A or D,Klebsiella pneumoniae,(+),(+),(+),OXA,OXA
33248,KP,OXA,KPC/OXA,OXA,KPC/OXA,mCIM(+)/eCIM(+),Class A or D,Klebsiella pneumoniae,(+),(+),(+),OXA,OXA
33260,KP,OXA,KPC/OXA,OXA,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Klebsiella pneumoniae,(+),(+),(+),OXA,OXA
33265,KP,OXA,KPC/OXA,OXA,KPC/OXA,mCIM(+)/eCIM(+),Class A or D,Klebsiella pneumoniae,(+),(+),(+),OXA,OXA
33266,KP,OXA,KPC/OXA,OXA,KPC/OXA,mCIM(+)/eCIM(+),Class A or D,Klebsiella pneumoniae,(+),(+),(+),OXA,OXA
33267,KP,OXA,KPC/OXA,OXA,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Klebsiella pneumoniae,(+),(+),(+),OXA,OXA
33277,KP,OXA,KPC/OXA,OXA,KPC/OXA,mCIM(+)/eCIM(+),Class A or D,Klebsiella pneumoniae,(+),(+),(+),OXA,OXA
33286,KP,OXA,KPC/OXA,OXA,KPC/OXA,mCIM(+)/eCIM(+),Class A or D,Klebsiella pneumoniae,(+),(-),(+),OXA,OXA
33292,KP,OXA,KPC/OXA,Negative,Negative,mCIM(-)/eCIM(-),Negative,Klebsiella pneumoniae,(-),(-),(-),OXA,Negative
33293,KP,OXA+NDM,Others,Negative,Negative,mCIM(-)/eCIM(-),Class B,Klebsiella pneumoniae,(-),(-),(-),OXA+NDM,NDM
33295,KP,OXA+NDM,Others,OXA+NDM,Others,mCIM(+)/eCIM(-),Class B,Klebsiella pneumoniae,(+),(+),(+),OXA+NDM,NDM
33296,KP,OXA,KPC/OXA,OXA,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Klebsiella pneumoniae,(+),(+),(+),OXA,OXA
33299,KP,OXA+NDM,Others,NDM,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class B,Klebsiella pneumoniae,(+),(+),(+),OXA+NDM,OXA+NDM
33306,KP,OXA,KPC/OXA,OXA,KPC/OXA,mCIM(+)/eCIM(-),Class Unknown,Klebsiella pneumoniae,(+),(+),(+),OXA,OXA
33323,KP,OXA,KPC/OXA,OXA,KPC/OXA,mCIM(+)/eCIM(+),Class A or D,Klebsiella pneumoniae,(+),(+),(+),OXA,OXA
33324,KP,OXA,KPC/OXA,OXA,KPC/OXA,mCIM(+)/eCIM(+),Class A or D,Klebsiella pneumoniae,(+),(+),(+),OXA,OXA
33352,KP,OXA,KPC/OXA,OXA,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Klebsiella pneumoniae,(+),(+),(+),OXA,OXA
33353,KP,OXA+NDM,Others,OXA+NDM,Others,mCIM(+)/eCIM(-),Class A or D,Klebsiella pneumoniae,(+),(+),(+),OXA+NDM,NDM
33359,KP,OXA,KPC/OXA,OXA,KPC/OXA,mCIM(+)/eCIM(+),Class A or D,Klebsiella pneumoniae,(+),(+),(+),OXA,OXA
33366,KP,OXA,KPC/OXA,Negative,Negative,mCIM(-)/eCIM(-),Class A or D,Klebsiella pneumoniae,(-),(+),(-),OXA,OXA
33371,KP,OXA,KPC/OXA,OXA,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Klebsiella pneumoniae,(+),(+),(+),OXA,OXA
33382,KP,OXA,KPC/OXA,OXA,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Klebsiella pneumoniae,(+),(+),(+),OXA,OXA
33387,KP,OXA+NDM,Others,NDM,IMP/NDM/VIM,mCIM(-)/eCIM(-),Negative,Klebsiella pneumoniae,(-),(-),(-),OXA+NDM,OXA+NDM
33400,KP,OXA,KPC/OXA,Negative,Negative,mCIM(-)/eCIM(-),Negative,Klebsiella pneumoniae,(-),(-),(-),OXA,Negative
33401,KP,OXA,KPC/OXA,OXA,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Klebsiella pneumoniae,(+),(+),(+),OXA,OXA
32968,KP,NDM,IMP/NDM/VIM,NDM,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class Unknown,Klebsiella pneumoniae,(+),(+),(+),NDM,NDM
